153,Diageo plc,DEO
154,"Diamond Offshore Drilling, Inc.",DO
155,"Dominion Resources, Inc.",D
156,Dow Chemical Company (The),DOW
157,Duke Energy Corporation,DUK
158,E.I. du Pont de Nemours and Company,DD
159,E.ON AG,EON
160,eBay Inc.,EBAY
161,Edison International,EIX
162,"Electricidade de Portugal, S.A.",EDP
163,Electronic Arts Inc.,ERTS
164,Electronic Data Systems Corporation,EDS
165,Eli Lilly and Company,LLY
166,EMC Corporation,EMC
167,Emerson Electric Company,EMR
168,ENBRIDGE INC,ENB
169,Encana Corporation,ECA
170,Endesa S.A.,ELE
171,ENEL S.p.A.,EN
172,ENI S.p.A.,E
173,Entergy Corporation,ETR
174,"Entergy Mississippi, Inc.",EMQ
175,"EOG Resources, Inc.",EOG
176,Equity Office Properties Trust,EOP
177,EQUITY RESIDENTIAL,EQR
178,EXELON CORP,EXC
179,"Express Scripts, Inc.",ESRX
180,Exxon Mobil Corporation,XOM
181,Federal Home Loan Mortgage Corporation,FRE
182,Federal National Mortgage Association,FNM
183,"Federated Department Stores, Inc.",FD
184,FedEx Corporation,FDX
185,FIAT S.p.A.,FIA
186,Fifth Third Bancorp,FITB
187,First Data Corporation,FDC
188,FirstEnergy Corporation,FE
189,Ford Motor Credit Company,F
190,FORD MTR CO DEL,F^A
191,"Forest Laboratories, Inc.",FRX
192,"Fortune Brands, Inc.",FO
193,"FPL Group, Inc.",FPL
194,France Telecom S.A.,FTE
195,"Franklin Resources, Inc.",BEN
196,"Freeport-McMoRan Copper & Gold, Inc.",FCX
197,"Fuji Photo Film Co., Ltd.",FUJIY
198,"Gannett Co., Inc.",GCI
199,"Gap, Inc. (The)",GPS
200,"Genentech, Inc.",DNA
201,General Dynamics Corporation,GD
202,General Electric Company,GE
203,"General Growth Properties, Inc.",GGP
204,"General Mills, Inc.",GIS
205,General Motors Corporation,GM
206,Genworth Financial Inc,GNW
207,Genzyme General,GENZ
208,"Gilead Sciences, Inc.",GILD
209,GLAXOSMITHKLINE PLC,GSK
210,Gold Fields Ltd.,GFI
211,Golden West Financial Corporation,GDW
212,"Goldman Sachs Group, Inc. (The)",GS
213,Google Inc.,GOOG
214,Governor and Company of the Bank of Ireland (The),IRE
215,GROUPE DANONE,DA
216,Guidant Corporation,GDT
217,H.J. Heinz Company,HNZ
218,Halliburton Company,HAL
219,"Harley-Davidson, Inc.",HDI
220,"Harrah's Entertainment, Inc.",HET
221,"Hartford Financial Services Group, Inc. (The)",HIG
222,HCA Inc.,HCA
223,"Hellenic Telecommunication Organization, S.A.",OTE
224,Hewlett-Packard Company,HPQ
225,"Hitachi, Ltd.",HIT
226,"Home Depot, Inc. (The)",HD
227,"Honda Motor Company, Ltd.",HMC
228,Honeywell International Inc.,HON
229,"HSBC Holdings, plc.",HBC
230,ICICI Bank Limited,IBN
231,Illinois Tool Works Inc.,ITW
232,Imperial Tobacco Group plc,ITY
233,Infosys Technologies Limited,INFY
234,"ING Group, N.V.",ING
